"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"912",NA,NA,"120 000 Ft/hó",NA,"Verseny utca"," VII. kerület","37 m² terület","1 szoba",NA
"913",NA,NA,"50 000 Ft/hó",NA,"Lehel utca"," Debrecen","20 m² terület","1 szoba","6 m² erkély"
"914",NA,NA,"140 000 Ft/hó",NA,"Győr"," Gyirmót","54 m² terület","2 + 1 fél szoba",NA
"915",NA,NA,"110 000 Ft/hó",NA,"Győr"," Ménfőcsanak","42 m² terület","1 + 1 fél szoba",NA
"916",NA,NA,"230 000 Ft/hó",NA,"Bokréta utca"," IX. kerület","71 m² terület","2 + 1 fél szoba","7 m² erkély"
"917",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","100 000 Ft/hó",NA,"Kormányos utca, Szeged",NA,NA
"918",NA,NA,"180 000 Ft/hó",NA,"Rákosfalva park"," XIV. kerület","72 m² terület","1 + 2 fél szoba","4 m² erkély"
"919",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","120 000 Ft/hó",NA,"Eötvös utca, VI. kerület",NA,NA
"920",NA,NA,"90 000 Ft/hó",NA,"Zenta utca"," XI. kerület","17 m² terület","1 szoba",NA
"921",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","110 000 Ft/hó",NA,"Tisza utca, XIII. kerület",NA,NA
"922",NA,NA,"150 000 Ft/hó",NA,"Törökőr utca"," XIV. kerület","52 m² terület","2 szoba","3 m² erkély"
"923",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","100 000 Ft/hó",NA,"Szalézi út, Esztergom",NA,NA
"924",NA,NA,"255 605 Ft/hó",NA,"Futó utca"," VIII. kerület","51 m² terület","3 szoba","2 m² erkély"
"925",NA,NA,"140 000 Ft/hó",NA,"Helsinki út"," XX. kerület","52 m² terület","2 szoba",NA
"926",NA,NA,"190 000 Ft/hó",NA,"Alkotmány utca 4"," V. kerület","71 m² terület","2 szoba",NA
"927",NA,NA,"180 000 Ft/hó",NA,"Visegrádi utca"," XIII. kerület","58 m² terület","3 + 1 fél szoba",NA
"928",NA,NA,"130 000 Ft/hó",NA,"Leonardo da Vinci utca"," VIII. kerület","47 m² terület","1 + 1 fél szoba","6 m² erkély"
"929",NA,NA,"149 000 Ft/hó",NA,"Népszínház utca"," VIII. kerület","55 m² terület","1 szoba",NA
"930","Új építésű",NA,"220 000 Ft/hó",NA,"Völgycsillag utca 4"," XI. kerület","57 m² terület","2 szoba","14 m² erkély"
"931",NA,NA,"150 000 Ft/hó",NA,"Hársfa utca 8"," VII. kerület","43 m² terület","2 szoba",NA
"932",NA,NA,"110 000 Ft/hó",NA,"Külső-Ferencváros"," IX. kerület","40 m² terület","1 szoba",NA
"933",NA,NA,"250 000 Ft/hó",NA,"Balassi Bálint utca"," Eger","89 m² terület","4 szoba","3 m² erkély"
"934",NA,NA,"138 000 Ft/hó",NA,"Kassai utca"," XIV. kerület","60 m² terület","2 szoba","2 m² erkély"
"935",NA,NA,"110 000 Ft/hó",NA,"Zsókavár utca 19"," XV. kerület","35 m² terület","1 + 1 fél szoba",NA
"936",NA,NA,"149 000 Ft/hó",NA,"Népszínház utca"," VIII. kerület","55 m² terület","1 szoba",NA
"937",NA,NA,"140 000 Ft/hó",NA,"Fehérvári út"," XI. kerület","50 m² terület","2 szoba",NA
"938",NA,NA,"130 000 Ft/hó",NA,"Darabos utca"," Debrecen","54 m² terület","2 szoba","5 m² erkély"
"939",NA,NA,"120 000 Ft/hó",NA,"Csapó utca"," Debrecen","54 m² terület","2 szoba",NA
"940",NA,NA,"140 000 Ft/hó",NA,"Mosoly utca 36"," XIII. kerület","49 m² terület","1 + 1 fél szoba",NA
"941",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","150 000 Ft/hó",NA,"Erdész utca, Tatabánya",NA,NA
"942",NA,NA,"94 000 Ft/hó",NA,"Salamon utca"," X. kerület","25 m² terület","1 szoba",NA
"943",NA,NA,"130 000 Ft/hó",NA,"Leonardo da Vinci utca"," VIII. kerület","47 m² terület","1 + 1 fél szoba","6 m² erkély"
"944","Új építésű",NA,"185 000 Ft/hó",NA,"Újpest"," IV. kerület","54 m² terület","2 + 1 fél szoba","5 m² erkély"
"945",NA,NA,"139 000 Ft/hó",NA,"Gyermek tér"," XIII. kerület","40 m² terület","2 szoba",NA
"946","Új építésű",NA,"160 000 Ft/hó",NA,"Újpest"," IV. kerület","50 m² terület","2 szoba","6 m² erkély"
"947",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","150 000 Ft/hó",NA,"Viktória utca 11, Szombathely",NA,NA
"948",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","180 000 Ft/hó",NA,"Losonczi utca, Szigetszentmiklós",NA,NA
"949",NA,NA,"158 000 Ft/hó",NA,"Új út"," Tata","49 m² terület","2 szoba",NA
"950",NA,NA,"125 000 Ft/hó",NA,"Törökugrató utca 36"," XI. kerület","60 m² terület","1 + 2 fél szoba","3 m² erkély"
"951",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","260 000 Ft/hó",NA,"Cseresznyefa utca, Érd",NA,NA
"952",NA,NA,"120 000 Ft/hó",NA,"Kertész utca"," Eger","40 m² terület","1 + 1 fél szoba",NA
"953","Új építésű",NA,"180 000 Ft/hó",NA,"Dinnye utca"," XI. kerület","50 m² terület","2 szoba","3 m² erkély"
"954",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","135 000 Ft/hó",NA,"Petneházy utca, XIII. kerület",NA,NA
"955",NA,NA,"150 000 Ft/hó",NA,"Cziráki utca"," XVI. kerület","58 m² terület","2 szoba","6 m² erkély"
"956",NA,NA,"120 000 Ft/hó",NA,"Március 15. utca 5"," Salgótarján","49 m² terület","2 szoba","8 m² erkély"
"957",NA,NA,"130 000 Ft/hó",NA,"Hortobágy utca"," Debrecen","38 m² terület","1 + 1 fél szoba",NA
"958","Csak szoba",NA,"70 000 Ft/hó",NA,"Ráday utca"," IX. kerület","13 m² terület","2 + 1 fél szoba",NA
"959",NA,NA,"140 000 Ft/hó",NA,"Tűzliliom utca"," XXII. kerület","50 m² terület","2 szoba",NA
"960",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","400 000 Ft/hó",NA,"Rómer Flóris utca, II. kerület",NA,NA
"961",NA,NA,"570 000 Ft/hó",NA,"Szikla utca"," II. kerület","120 m² terület","4 szoba","6 m² erkély"
"962",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","110 000 Ft/hó",NA,"Beethoven utca, XII. kerület",NA,NA
"963",NA,NA,"273 863 Ft/hó",NA,"Lipótváros"," V. kerület","80 m² terület","2 + 1 fél szoba",NA
"964",NA,NA,"180 000 Ft/hó",NA,"Fillér utca"," II. kerület","59 m² terület","2 szoba","6 m² erkély"
"965",NA,NA,"130 000 Ft/hó",NA,"Batthyány utca"," I. kerület","38 m² terület","1 szoba",NA
"966",NA,NA,"80 000 Ft/hó",NA,"Felsőruzsin körút 17"," Miskolc","37 m² terület","1 + 1 fél szoba","3 m² erkély"
"967",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","130 000 Ft/hó",NA,"Sólyom utca, Nyíregyháza",NA,NA
"968","Új építésű",NA,"438 180 Ft/hó",NA,"Taksony utca"," XIII. kerület","65 m² terület","3 szoba","27 m² erkély"
"969",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","120 000 Ft/hó",NA,"Rátz László utca, XI. kerület",NA,NA
"970",NA,NA,"145 000 Ft/hó",NA,"Visegrádi utca"," XIII. kerület","47 m² terület","2 szoba",NA
"971",NA,NA,"150 000 Ft/hó",NA,"Tétényi út 22"," XI. kerület","46 m² terület","2 szoba",NA
"972",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","210 000 Ft/hó",NA,"Labanc út, II. kerület",NA,NA
"973",NA,NA,"280 000 Ft/hó",NA,"Szervita tér"," V. kerület","74 m² terület","2 szoba",NA
"974",NA,NA,"150 000 Ft/hó",NA,"Debrecen"," Nagyerdő","49 m² terület","2 szoba",NA
"975",NA,NA,"400 000 Ft/hó",NA,"Meder utca"," XIII. kerület","64 m² terület","2 + 1 fél szoba","14 m² erkély"
"976",NA,NA,"100 000 Ft/hó",NA,"Győr"," Sziget","58 m² terület","2 szoba",NA
"977",NA,NA,"199 000 Ft/hó",NA,"Ménesi út"," XI. kerület","64 m² terület","2 szoba","4 m² erkély"
"978",NA,NA,"175 000 Ft/hó",NA,"Ferenciek tere"," V. kerület","70 m² terület","2 szoba",NA
"979",NA,NA,"175 000 Ft/hó",NA,"Júlia utca"," II. kerület","78 m² terület","2 + 1 fél szoba","10 m² erkély"
"980",NA,NA,"180 000 Ft/hó",NA,"Vámház körút"," V. kerület","68 m² terület","1 + 1 fél szoba",NA
"981",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","180 000 Ft/hó",NA,"Rákosfalva park, XIV. kerület",NA,NA
"982","Új építésű",NA,"130 000 Ft/hó",NA,"Lehel utca 6"," XIX. kerület","38 m² terület","1 szoba",NA
"983",NA,NA,"120 000 Ft/hó",NA,"József Attila sugárút"," Szeged","35 m² terület","1 szoba",NA
"984",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","125 000 Ft/hó",NA,"Törökugrató utca, XI. kerület",NA,NA
"985",NA,NA,"220 000 Ft/hó",NA,"Hunfalvy utca"," I. kerület","34 m² terület","1 + 1 fél szoba",NA
"986",NA,NA,"220 000 Ft/hó",NA,"Hunfalvy utca"," I. kerület","34 m² terület","1 + 1 fél szoba",NA
"987",NA,NA,"170 000 Ft/hó",NA,"Kuruc utca"," Debrecen","110 m² terület","3 szoba",NA
"988",NA,NA,"130 000 Ft/hó",NA,"Fazekas utca"," II. kerület","32 m² terület","1 szoba",NA
"989",NA,NA,"175 000 Ft/hó",NA,"Nádastó park"," XV. kerület","64 m² terület","2 + 1 fél szoba","2 m² erkély"
"990",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","200 000 Ft/hó",NA,"Sirály utca 5., Siófok",NA,NA
"991",NA,NA,"440 000 Ft/hó",NA,"Iglói utca"," XI. kerület","86 m² terület","2 + 1 fél szoba","6 m² erkély"
"992",NA,NA,"130 000 Ft/hó",NA,"Karolina út"," XI. kerület","50 m² terület","2 szoba",NA
"993",NA,NA,"120 000 Ft/hó",NA,"Pannónia utca"," XIII. kerület","42 m² terület","1 szoba",NA
"994",NA,NA,"125 000 Ft/hó",NA,"Lakatos-lakótelep"," XVIII. kerület","54 m² terület","2 szoba","3 m² erkély"
"995",NA,NA,"120 000 Ft/hó",NA,"Haller utca"," IX. kerület","34 m² terület","1 szoba",NA
"996",NA,NA,"120 000 Ft/hó",NA,"Tas vezér utca 20."," XI. kerület","39 m² terület","1 szoba",NA
"997",NA,NA,"155 000 Ft/hó",NA,"Gyarmat utca"," XIV. kerület","50 m² terület","1 + 1 fél szoba",NA
"998",NA,NA,"130 000 Ft/hó",NA,"Szeged"," Felsőváros","90 m² terület","3 szoba","20 m² erkély"
"999",NA,NA,"120 000 Ft/hó",NA,"Haller utca"," IX. kerület","30 m² terület","1 szoba",NA
"1000",NA,NA,"150 000 Ft/hó",NA,"Szombathely"," Joskar-Ola-lakótelep","66 m² terület","2 szoba",NA
"1001",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","85 000 Ft/hó",NA,"Lóverseny utca 13, Kecskemét",NA,NA
"1002",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","170 000 Ft/hó",NA,"Bihari utca, X. kerület",NA,NA
"1003",NA,NA,"150 000 Ft/hó",NA,"Nagy Lajos király útja"," XIV. kerület","42 m² terület","2 szoba",NA
"1004","Új építésű",NA,"680 000 Ft/hó",NA,"Wolfner utca"," IV. kerület","118 m² terület","5 szoba",NA
"1005",NA,NA,"140 000 Ft/hó",NA,"Rejtő Jenő utca"," VII. kerület","48 m² terület","2 szoba",NA
"1006",NA,NA,"60 000 Ft/hó",NA,"Budapesti út"," Salgótarján","50 m² terület","1 szoba","3 m² erkély"
"1007",NA,NA,"114 000 Ft/hó",NA,"Győr"," Sziget","44 m² terület","2 + 1 fél szoba",NA
"1008",NA,NA,"270 000 Ft/hó",NA,"Váralja utca"," I. kerület","63 m² terület","1 + 2 fél szoba",NA
"1009",NA,NA,"120 000 Ft/hó",NA,"Haller utca"," IX. kerület","30 m² terület","1 szoba",NA
"1010",NA,NA,"120 000 Ft/hó",NA,"Haller utca"," IX. kerület","34 m² terület","1 szoba",NA
"1011","Új építésű",NA,"580 000 Ft/hó",NA,"Wolfner utca"," IV. kerület","80 m² terület","4 szoba","72 m² erkély"
"1012",NA,NA,"95 000 Ft/hó",NA,"Kossuth Lajos út"," Szolnok","56 m² terület","1 + 1 fél szoba",NA
"1013",NA,NA,"200 000 Ft/hó",NA,"Baross utca"," Szolnok","76 m² terület","2 szoba",NA
"1014","Új építésű",NA,"300 000 Ft/hó",NA,"Budatétény"," XXII. kerület","70 m² terület","3 szoba",NA
"1015",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","220 000 Ft/hó",NA,"Fillér utca, II. kerület",NA,NA
"1016",NA,NA,"160 000 Ft/hó",NA,"Vezér utca"," XIV. kerület","56 m² terület","2 szoba","8 m² erkély"
"1017",NA,NA,"190 000 Ft/hó",NA,"Lágymányos"," XI. kerület","74 m² terület","2 szoba","6 m² erkély"
"1018","Virtuális séta",NA,"160 000 Ft/hó",NA,"Kapy utca"," II. kerület","56 m² terület","2 szoba","8 m² erkély"
"1019",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","105 000 Ft/hó",NA,"Jókai utca, XIX. kerület",NA,NA
"1020",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","130 000 Ft/hó",NA,"Dohány utca 69, VII. kerület",NA,NA
"1021",NA,NA,"140 000 Ft/hó",NA,"Illés utca 28-30A"," VIII. kerület","48 m² terület","1 + 1 fél szoba","8 m² erkély"
"1022",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","165 000 Ft/hó",NA,"Alíz utca 6, XI. kerület",NA,NA
"1023",NA,NA,"150 000 Ft/hó",NA,"Debrecen"," Nagyerdő","49 m² terület","2 szoba",NA
"1024",NA,NA,"250 000 Ft/hó",NA,"Stefánia út"," XIV. kerület","100 m² terület","3 szoba","2 m² erkély"
"1025",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","75 000 Ft/hó",NA,"Tizeshonvéd utca, Miskolc",NA,NA
"1026",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","140 000 Ft/hó",NA,"Szederkényi út 13, Tiszaújváros",NA,NA
"1027",NA,NA,"350 000 Ft/hó",NA,"Váci utca"," V. kerület","80 m² terület","2 + 1 fél szoba","3 m² erkély"
"1028",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","150 000 Ft/hó",NA,"Üllői út 60, VIII. kerület",NA,NA
"1029",NA,NA,"250 000 Ft/hó",NA,"Angyalföldi út"," XIII. kerület","61 m² terület","3 szoba","8 m² erkély"
"1030",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","90 000 Ft/hó",NA,"Kossuth Lajos utca, Nyíregyháza",NA,NA
"1031",NA,NA,"250 000 Ft/hó",NA,"Angyalföldi út"," XIII. kerület","59 m² terület","3 szoba","13 m² erkély"
"1032",NA,NA,"100 000 Ft/hó",NA,"Ybl Miklós út"," Salgótarján","56 m² terület","2 + 1 fél szoba",NA
"1033","Csak szoba",NA,"40 000 Ft/hó",NA,"Állomás utca"," Nyíregyháza","18 m² terület","1 szoba",NA
"1034",NA,NA,"160 000 Ft/hó",NA,"Királyok útja 194"," III. kerület","54 m² terület","2 szoba","4 m² erkély"
"1035",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","85 000 Ft/hó",NA,"Álmos vezér utca, Tatabánya",NA,NA
"1036",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","130 000 Ft/hó",NA,"Futó utca, VIII. kerület",NA,NA
"1037",NA,NA,"300 000 Ft/hó",NA,"Neszmélyi út"," XI. kerület","120 m² terület","3 + 1 fél szoba","35 m² erkély"
"1038","Új építésű",NA,"165 000 Ft/hó",NA,"Debrecen"," Belváros","60 m² terület","2 szoba","30 m² erkély"
"1039",NA,NA,"120 000 Ft/hó",NA,"Zsálya utca"," XIV. kerület","18 m² terület","2 szoba","2 m² erkély"
"1040",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","150 000 Ft/hó",NA,"Nádor utca, Balatonfüred",NA,NA
"1041",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","150 000 Ft/hó",NA,"Nádor utca, Balatonfüred",NA,NA
"1042",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","120 000 Ft/hó",NA,"Hadak útja 2., XI. kerület",NA,NA
"1043",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","130 000 Ft/hó",NA,"Balfi út, Sopron",NA,NA
"1044",NA,NA,"130 000 Ft/hó",NA,"Alsórákos"," XIV. kerület","50 m² terület","1 + 1 fél szoba",NA
"1045",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","118 000 Ft/hó",NA,"József köz, XVIII. kerület",NA,NA
"1046",NA,NA,"190 000 Ft/hó",NA,"Baross utca 90"," VIII. kerület","77 m² terület","2 + 1 fél szoba",NA
"1047",NA,NA,"150 000 Ft/hó",NA,"Stefánia út"," XIV. kerület","64 m² terület","1 + 1 fél szoba",NA
"1048",NA,NA,"85 000 Ft/hó",NA,"Gergely utca"," X. kerület","29 m² terület","1 szoba",NA
"1049",NA,NA,"190 000 Ft/hó",NA,"Kondorosi út"," XI. kerület","58 m² terület","3 szoba","6 m² erkély"
"1050",NA,NA,"70 000 Ft/hó",NA,"Kassai sor"," Salgótarján","38 m² terület","1 szoba",NA
"1051",NA,NA,"175 000 Ft/hó",NA,"Júlia utca"," II. kerület","78 m² terület","1 + 2 fél szoba","10 m² erkély"
"1052",NA,NA,"185 000 Ft/hó",NA,"Törökvész út"," II. kerület","54 m² terület","2 szoba","6 m² erkély"
"1053",NA,NA,"250 000 Ft/hó",NA,"Veres Pálné utca"," V. kerület","97 m² terület","4 szoba",NA
"1054",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","230 000 Ft/hó",NA,"Külső-Terézváros, VI. kerület",NA,NA
"1055",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","80 000 Ft/hó",NA,"Gasparich Márk utca, Zalaegerszeg",NA,NA
"1056",NA,NA,"129 000 Ft/hó",NA,"Pap Károly utca"," XIII. kerület","32 m² terület","1 szoba","9 m² erkély"
"1057",NA,NA,"160 000 Ft/hó",NA,"Bokréta utca"," IX. kerület","59 m² terület","2 szoba",NA
"1058",NA,NA,"160 000 Ft/hó",NA,"Rumbach Sebestyén utca"," VII. kerület","59 m² terület","2 szoba",NA
"1059","Új építésű",NA,"199 000 Ft/hó",NA,"Vizafogó - Marinapart"," XIII. kerület","45 m² terület","2 szoba","6 m² erkély"
"1060","Csak szoba",NA,"55 000 Ft/hó",NA,"Breznó köz 5"," XI. kerület","12 m² terület","1 szoba","30 m² erkély"
"1061","Csak szoba",NA,"75 000 Ft/hó",NA,"József körút"," VIII. kerület","20 m² terület","2 szoba",NA
"1062",NA,NA,"120 000 Ft/hó",NA,"Zagyvaparti sétány"," Szolnok","52 m² terület","2 szoba",NA
"1063",NA,NA,"99 000 Ft/hó",NA,"Marek József utca"," VII. kerület","30 m² terület","1 szoba",NA
"1064",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","230 000 Ft/hó",NA,"Zöldkő utca, II. kerület",NA,NA
"1065",NA,NA,"769 000 Ft/hó",NA,"Mártonhegy"," XII. kerület","180 m² terület","6 + 1 fél szoba","35 m² erkély"
"1066",NA,NA,"250 000 Ft/hó",NA,"Stefánia út"," XIV. kerület","100 m² terület","3 szoba","2 m² erkély"
"1067",NA,NA,"40 000 Ft/hó",NA,"Árkád sor"," Tiszaújváros","20 m² terület","1 szoba",NA
"1068",NA,NA,"100 000 Ft/hó",NA,"Pécskő út"," Salgótarján","58 m² terület","3 szoba","8 m² erkély"
"1069",NA,NA,"170 000 Ft/hó",NA,"Kléh István utca"," XII. kerület","77 m² terület","2 + 1 fél szoba","3 m² erkély"
"1070",NA,NA,"150 000 Ft/hó",NA,"Puskás Tivadar út"," Budaörs","48 m² terület","2 szoba","5 m² erkély"
"1071",NA,NA,"120 000 Ft/hó",NA,"Endrődi Sándor utca 42."," Veszprém","49 m² terület","2 szoba",NA
"1072",NA,NA,"159 000 Ft/hó",NA,"Andrássy út"," VI. kerület","38 m² terület","1 szoba",NA
"1073",NA,NA,"130 000 Ft/hó",NA,"Belváros tér"," Gyöngyös","68 m² terület","2 szoba",NA
"1074",NA,NA,"140 000 Ft/hó",NA,"Róna utca"," XIV. kerület","45 m² terület","1 + 1 fél szoba","2 m² erkély"
"1075",NA,NA,"1 250 000 Ft/hó",NA,"Csatárka - Látóhegy"," II. kerület","270 m² terület","6 szoba","37 m² erkély"
"1076",NA,NA,"150 000 Ft/hó",NA,"Nefelejcs utca"," VII. kerület","41 m² terület","1 + 1 fél szoba",NA
"1077",NA,NA,"130 000 Ft/hó",NA,"Ótemető utca"," Debrecen","54 m² terület","2 szoba",NA
"1078",NA,NA,"135 000 Ft/hó",NA,"Zalán utca"," XIV. kerület","49 m² terület","2 szoba",NA
"1079",NA,NA,"110 000 Ft/hó",NA,"Vércse utca"," XXI. kerület","44 m² terület","1 + 1 fél szoba","8 m² erkély"
"1080",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","140 000 Ft/hó",NA,"Csángó utca 32, XIII. kerület",NA,NA
"1081",NA,NA,"730 300 Ft/hó",NA,"Szent István körút"," V. kerület","88 m² terület","3 szoba","1 m² erkély"
"1082",NA,NA,"130 000 Ft/hó",NA,"Leonardo da Vinci utca"," VIII. kerület","50 m² terület","1 + 1 fél szoba","6 m² erkély"
"1083",NA,NA,"150 000 Ft/hó",NA,"Temesvár utca 4"," XI. kerület","41 m² terület","1 + 1 fél szoba",NA
"1084",NA,NA,"300 000 Ft/hó",NA,"József körút"," VIII. kerület","107 m² terület","3 szoba",NA
"1085",NA,NA,"180 000 Ft/hó",NA,"Nagyerdei körút"," Debrecen","67 m² terület","3 szoba","8 m² erkély"
"1086",NA,NA,"350 000 Ft/hó",NA,"Présház utca"," Vác","100 m² terület","3 + 1 fél szoba","10 m² erkély"
"1087",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","120 000 Ft/hó",NA,"Béke utca, XIII. kerület",NA,NA
"1088",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","60 000 Ft/hó",NA,"Szigethy Attila út 43, Győr",NA,NA
"1089",NA,NA,"95 000 Ft/hó",NA,"Bánya utca"," XXI. kerület","35 m² terület","1 szoba",NA
"1090",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","145 000 Ft/hó",NA,"Kossuth tér 6., Kecskemét",NA,NA
"1091",NA,NA,"200 000 Ft/hó",NA,"Cserhalom utca"," XIII. kerület","37 m² terület","2 szoba","8 m² erkély"
"1092","Új építésű",NA,"165 000 Ft/hó",NA,"Sörgyár utca 41"," X. kerület","52 m² terület","2 szoba","8 m² erkély"
"1093",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","140 000 Ft/hó",NA,"Hengermalom út 8/b, XI. kerület",NA,NA
"1094",NA,NA,"140 000 Ft/hó",NA,"Szabadság utca"," XVI. kerület","100 m² terület","3 szoba","20 m² erkély"
"1095",NA,NA,"196 000 Ft/hó",NA,"Zsinór utca 26-28"," XIII. kerület","49 m² terület","2 szoba","8 m² erkély"
"1096",NA,NA,"160 000 Ft/hó",NA,"Gólya utca"," Eger","60 m² terület","2 + 1 fél szoba","3 m² erkély"
"1097",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","180 000 Ft/hó",NA,"Gyöngyház utca, XIII. kerület",NA,NA
"1098",NA,NA,"70 000 Ft/hó",NA,"Jászhalom utca"," XVI. kerület","25 m² terület","1 + 1 fél szoba",NA
"1099",NA,NA,"154 000 Ft/hó",NA,"Kertész utca"," VII. kerület","80 m² terület","1 + 2 fél szoba","3 m² erkély"
