"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"885",NA,NA,NA,"140 000 Ft/hó",NA,"Szerencs utca"," XV. kerület","55 m² terület","2 szoba","1 m² erkély"
"886","Új építésű"," Csak szoba",NA,"70 000 Ft/hó",NA,"Lakfalvi utca"," Sopron","25 m² terület","1 szoba",NA
"887",NA,NA,NA,"949 390 Ft/hó",NA,"Benczúr utca"," VI. kerület","210 m² terület","6 szoba","16 m² erkély"
"888","Videó elérhető",NA,NA,"250 000 Ft/hó",NA,"Belgrád rakpart"," V. kerület","40 m² terület","1 szoba",NA
"889","Videó elérhető",NA,NA,"390 000 Ft/hó",NA,"Pasaréti út"," II. kerület","90 m² terület","2 + 1 fél szoba","10 m² erkély"
"890",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","120 000 Ft/hó",NA,"Palotakert 2., Gödöllő",NA,NA
"891",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","230 000 Ft/hó",NA,"Bródy Sándor utca 25, VIII. kerület",NA,NA
"892","Új építésű"," Csak szoba",NA,"65 000 Ft/hó",NA,"Farkasfog utca"," XVI. kerület","8 m² terület","0 + 1 fél szoba","8 m² erkély"
"893","Csak szoba",NA,NA,"130 000 Ft/hó",NA,"Thököly utca"," Hatvan","20 m² terület","1 szoba",NA
"894",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","550 000 Ft/hó",NA,"Ó utca, VI. kerület",NA,NA
"895","Régen frissült",NA,NA,"584 240 Ft/hó",NA,"Nagymező utca"," VI. kerület","137 m² terület","4 szoba","2 m² erkély"
"896",NA,NA,NA,"115 000 Ft/hó",NA,"Baross tér"," VII. kerület","44 m² terület","2 szoba",NA
"897","Új építésű",NA,NA,"110 000 Ft/hó",NA,"Győr"," Ménfőcsanak","58 m² terület","2 szoba",NA
"898",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","249 000 Ft/hó",NA,"Teve utca 24-28, XIII. kerület",NA,NA
"899",NA,NA,NA,"175 000 Ft/hó",NA,"Lipótváros"," V. kerület","41 m² terület","1 szoba",NA
"900",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","55 000 Ft/hó",NA,"Székesfehérvár",NA,NA
"901",NA,NA,NA,"584 240 Ft/hó",NA,"Mecset utca"," II. kerület","98 m² terület","4 szoba",NA
"902",NA,NA,NA,"160 000 Ft/hó",NA,"Kőbánya-Városközpont"," X. kerület","60 m² terület","2 szoba","3 m² erkély"
"903","Új építésű",NA,NA,"280 000 Ft/hó",NA,"Danubius utca"," XIII. kerület","70 m² terület","3 szoba",NA
"904",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","120 000 Ft/hó",NA,"Bethlen Gábor utca 2, Nyíregyháza",NA,NA
"905",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","130 000 Ft/hó",NA,"Wesselényi utca, VII. kerület",NA,NA
"906",NA,NA,NA,"110 000 Ft/hó",NA,"Győr"," Ménfőcsanak","58 m² terület","2 szoba",NA
"907",NA,NA,NA,"50 000 Ft/hó",NA,"Békéscsaba"," Belváros","38 m² terület","1 szoba","3 m² erkély"
"908","Új építésű",NA,NA,"220 000 Ft/hó",NA,"Corvin sétány"," VIII. kerület","52 m² terület","2 szoba",NA
"909",NA,NA,NA,"110 000 Ft/hó",NA,"Zsirai Miklós utca"," III. kerület","51 m² terület","2 szoba","6 m² erkély"
"910",NA,NA,NA,"322 000 Ft/hó",NA,"Hercegprímás utca"," V. kerület","58 m² terület","2 szoba",NA
"911","Régen frissült",NA,NA,"375 000 Ft/hó",NA,"Hunyadi János út"," I. kerület","96 m² terület","4 szoba",NA
"912",NA,NA,NA,"185 000 Ft/hó",NA,"Gárdonyi tér"," XI. kerület","86 m² terület","2 szoba",NA
"913",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","155 000 Ft/hó",NA,"Tavas utca, X. kerület",NA,NA
"914",NA,NA,NA,"164 318 Ft/hó",NA,"Podmaniczky Frigyes tér"," V. kerület","27 m² terület","1 szoba",NA
"915","Új építésű",NA,NA,"250 000 Ft/hó",NA,"Bajcsy-Zsilinszky utca"," Debrecen","1 m² terület","3 szoba",NA
"916",NA,NA,NA,"110 000 Ft/hó",NA,"Bartók tér"," Szeged","85 m² terület","2 szoba",NA
"917",NA,NA,NA,"230 000 Ft/hó",NA,"Markó utca"," V. kerület","48 m² terület","2 szoba","4 m² erkély"
"918",NA,NA,NA,"850 000 Ft/hó",NA,"Lánchíd utca"," I. kerület","109 m² terület","4 + 1 fél szoba",NA
"919",NA,NA,NA,"65 000 Ft/hó",NA,"Dankó utca 16"," Várpalota","20 m² terület","1 szoba",NA
"920",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","60 000 Ft/hó",NA,"Ezüsthegyi út, Pilisborosjenő",NA,NA
"921",NA,NA,NA,"130 000 Ft/hó",NA,"Dob utca 87"," VII. kerület","32 m² terület","1 szoba",NA
"922",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","100 000 Ft/hó",NA,"Kazinczy út, Tiszaújváros",NA,NA
"923",NA,NA,NA,"130 000 Ft/hó",NA,"Újszász utca"," XVI. kerület","40 m² terület","1 + 1 fél szoba",NA
"924",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","130 000 Ft/hó",NA,"Kapucinus utca, I. kerület",NA,NA
"925",NA,NA,NA,"160 000 Ft/hó",NA,"Batthyány utca"," I. kerület","75 m² terület","2 szoba",NA
"926",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","580 000 Ft/hó",NA,"Bródy Sándor utca 25, VIII. kerület",NA,NA
"927",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","700 000 Ft/hó",NA,"Belgrád rakpart 26, V. kerület",NA,NA
"928",NA,NA,NA,"75 000 Ft/hó",NA,"Pöltenberg utca"," XX. kerület","25 m² terület","1 szoba","10 m² erkély"
"929",NA,NA,NA,"100 000 Ft/hó",NA,"Rákosszeg park"," XIV. kerület","39 m² terület","1 szoba",NA
"930",NA,NA,NA,"365 150 Ft/hó",NA,"Lázár utca"," VI. kerület","81 m² terület","3 szoba",NA
"931","Új építésű",NA,NA,"280 000 Ft/hó",NA,"Hősök tere"," Tata","93 m² terület","3 szoba","45 m² erkély"
"932",NA,NA,NA,"150 000 Ft/hó",NA,"Hunyadi János út"," I. kerület","28 m² terület","1 szoba",NA
"933",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","115 000 Ft/hó",NA,"Rákóczi Ferenc utca 29, Győr",NA,NA
"934",NA,NA,NA,"390 000 Ft/hó",NA,"Komárom",NA,"120 m² terület","4 szoba","20 m² erkély"
"935",NA,NA,NA,"150 000 Ft/hó",NA,"Múzeum körút 31"," V. kerület","36 m² terület","1 szoba",NA
"936",NA,NA,NA,"100 000 Ft/hó",NA,"Erzsébet körút 19"," VII. kerület","20 m² terület","1 szoba",NA
"937",NA,NA,NA,"730 300 Ft/hó",NA,"Lövőház utca"," II. kerület","100 m² terület","3 + 1 fél szoba",NA
"938",NA,NA,NA,"602 498 Ft/hó",NA,"Külső-Terézváros"," VI. kerület","84 m² terület","3 szoba",NA
"939","Új építésű",NA,NA,"350 000 Ft/hó",NA,"Jurisics Miklós utca"," Pécs","74 m² terület","3 szoba","14 m² erkély"
"940","Videó elérhető",NA,NA,"471 000 Ft/hó",NA,"Wesselényi utca"," VII. kerület","90 m² terület","2 szoba",NA
"941",NA,NA,NA,"237 348 Ft/hó",NA,"Molnár utca"," V. kerület","63 m² terület","1 + 1 fél szoba",NA
"942",NA,NA,NA,"657 270 Ft/hó",NA,"Dohány utca 20."," VII. kerület","100 m² terület","3 szoba",NA
"943",NA,NA,NA,"270 000 Ft/hó",NA,"Üllői út"," IX. kerület","101 m² terület","2 + 1 fél szoba","2 m² erkély"
"944",NA,NA,NA,"179 900 Ft/hó",NA,"Pusztaszeri út"," II. kerület","64 m² terület","2 szoba","10 m² erkély"
"945",NA,NA,NA,"292 120 Ft/hó",NA,"Andrássy út"," VI. kerület","66 m² terület","2 szoba",NA
"946",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","165 000 Ft/hó",NA,"Illés utca 30, VIII. kerület",NA,NA
"947",NA,NA,NA,"140 000 Ft/hó",NA,"Drégely utca"," IX. kerület","33 m² terület","1 szoba","6 m² erkély"
"948",NA,NA,NA,"230 000 Ft/hó",NA,"Zulejka utca"," XII. kerület","76 m² terület","3 szoba","9 m² erkély"
"949","Új építésű",NA,NA,"160 000 Ft/hó",NA,"Vágóhíd utca"," IX. kerület","42 m² terület","1 szoba","8 m² erkély"
"950",NA,NA,NA,"202 000 Ft/hó",NA,"Győr",NA,"46 m² terület","2 szoba",NA
"951",NA,NA,NA,"308 000 Ft/hó",NA,"Győr",NA,"70 m² terület","3 szoba",NA
"952",NA,NA,NA,"166 000 Ft/hó",NA,"Győr",NA,"36 m² terület","1 szoba",NA
"953",NA,NA,NA,"311 000 Ft/hó",NA,"Győr",NA,"70 m² terület","3 szoba","70 m² erkély"
"954",NA,NA,NA,"147 500 Ft/hó",NA,"Győr",NA,"32 m² terület","1 szoba",NA
"955",NA,NA,NA,"240 000 Ft/hó",NA,"Győr",NA,"54 m² terület","3 szoba",NA
"956",NA,NA,NA,"458 000 Ft/hó",NA,"Győr",NA,"140 m² terület","5 szoba",NA
"957",NA,NA,NA,"366 000 Ft/hó",NA,"Győr",NA,"112 m² terület","4 szoba",NA
"958",NA,NA,NA,"288 000 Ft/hó",NA,"Győr",NA,"64 m² terület","2 szoba","7 m² erkély"
"959",NA,NA,NA,"203 000 Ft/hó",NA,"Győr",NA,"44 m² terület","2 szoba","7 m² erkély"
"960",NA,NA,NA,"173 000 Ft/hó",NA,"Győr",NA,"43 m² terület","2 szoba",NA
"961",NA,NA,NA,"169 000 Ft/hó",NA,"Győr",NA,"42 m² terület","2 szoba",NA
"962","Új építésű",NA,NA,"700 000 Ft/hó",NA,"Kelenföld"," XI. kerület","96 m² terület","4 szoba","28 m² erkély"
"963",NA,NA,NA,"180 000 Ft/hó",NA,"Hollán Ernő utca"," XIII. kerület","76 m² terület","3 szoba",NA
"964",NA,NA,NA,"120 000 Ft/hó",NA,"Üllői út"," IX. kerület","50 m² terület","1 + 1 fél szoba",NA
"965",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","470 000 Ft/hó",NA,"Sas utca, V. kerület",NA,NA
"966",NA,NA,NA,"135 000 Ft/hó",NA,"Kárpát utca"," XIII. kerület","50 m² terület","2 szoba","2 m² erkély"
"967",NA,NA,NA,"350 000 Ft/hó",NA,"Krisztinaváros - Naphegy"," I. kerület","87 m² terület","2 + 1 fél szoba","2 m² erkély"
"968","Csak szoba",NA,NA,"76 000 Ft/hó",NA,"Rákóczi út 51."," VIII. kerület","17 m² terület","1 szoba",NA
"969",NA,NA,NA,"693 785 Ft/hó",NA,"Erzsébet körút 16."," VII. kerület","125 m² terület","4 szoba","6 m² erkély"
"970",NA,NA,NA,"85 000 Ft/hó",NA,"Kőrösi út"," Gyál","25 m² terület","1 szoba",NA
"971",NA,NA,NA,"160 000 Ft/hó",NA,"Garibaldi utca"," V. kerület","52 m² terület","1 + 1 fél szoba",NA
"972",NA,NA,NA,"170 000 Ft/hó",NA,"Garibaldi utca"," V. kerület","66 m² terület","2 szoba",NA
"973",NA,NA,NA,"308 000 Ft/hó",NA,"Párkány utca"," XIII. kerület","53 m² terület","1 + 2 fél szoba","44 m² erkély"
"974",NA,NA,NA,"296 000 Ft/hó",NA,"Paulay Ede utca"," VI. kerület","74 m² terület","3 szoba",NA
"975",NA,NA,NA,"160 000 Ft/hó",NA,"Pozsonyi út"," XIII. kerület","68 m² terület","2 szoba","5 m² erkély"
"976",NA,NA,NA,"70 000 Ft/hó",NA,"Frankenburg út 2"," Sopron","10 m² terület","1 szoba",NA
"977",NA,NA,NA,"250 000 Ft/hó",NA,"Andrássy út"," VI. kerület","93 m² terület","3 szoba",NA
"978",NA,NA,NA,"912 875 Ft/hó",NA,"Kossuth Lajos utca 11."," V. kerület","127 m² terület","3 szoba",NA
"979","Új építésű",NA,NA,"140 000 Ft/hó",NA,"Béke utca 117"," XIII. kerület","45 m² terület","1 szoba","5 m² erkély"
"980",NA,NA,NA,"150 000 Ft/hó",NA,"Siófok"," Ezüstpart","64 m² terület","3 szoba",NA
"981",NA,NA,NA,"70 000 Ft/hó",NA,"Kaposvár"," Belváros","50 m² terület","2 szoba",NA
"982",NA,NA,NA,"50 000 Ft/hó",NA,"Gyöngyös"," Belváros","10 m² terület","1 szoba",NA
"983",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","160 000 Ft/hó",NA,"Ulászló utca, XI. kerület",NA,NA
"984","Videó elérhető",NA,NA,"200 000 Ft/hó",NA,"Bem tér"," Debrecen","54 m² terület","1 + 2 fél szoba","26 m² erkély"
"985",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","85 000 Ft/hó",NA,"Sugár út, Szombathely",NA,NA
"986",NA,NA,NA,"343 000 Ft/hó",NA,"Belső-Terézváros"," VI. kerület","70 m² terület","2 szoba","10 m² erkély"
"987",NA,NA,NA,"165 000 Ft/hó",NA,"Kelenföldi lakótelep"," XI. kerület","57 m² terület","2 szoba","2 m² erkély"
"988","Új építésű"," Videó elérhető"," Régen frissült","179 000 Ft/hó",NA,"Fischer István utca"," XIV. kerület","53 m² terület","2 szoba","10 m² erkély"
"989",NA,NA,NA,"92 000 Ft/hó",NA,"Szondi utca 61"," VI. kerület","27 m² terület","1 szoba",NA
"990","Új építésű",NA,NA,"99 000 Ft/hó",NA,"Szent László utca 187."," Siófok","38 m² terület","1 + 1 fél szoba","10 m² erkély"
"991",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","180 000 Ft/hó",NA,"Pusztaszeri út 16, II. kerület",NA,NA
"992",NA,NA,NA,"72 000 Ft/hó",NA,"Rátz László utca 70"," XI. kerület","18 m² terület","1 szoba",NA
"993",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","85 000 Ft/hó",NA,"Dr. Szabolcs Zoltán utca, Szombathely",NA,NA
"994",NA,NA,NA,"220 000 Ft/hó",NA,"Debrecen"," Belváros","84 m² terület","2 szoba",NA
"995","Új építésű",NA,NA,"505 000 Ft/hó",NA,"Bíró László József körút 2"," XI. kerület","71 m² terület","3 szoba","35 m² erkély"
"996",NA,NA,NA,"182 575 Ft/hó",NA,"Remeteszőlős"," Kútgyűrűtelep","42 m² terület","2 szoba",NA
"997","Új építésű",NA,NA,"649 000 Ft/hó",NA,"Budapart tér"," XI. kerület","97 m² terület","4 szoba","20 m² erkély"
"998",NA,NA,NA,"160 000 Ft/hó",NA,"Klauzál tér"," VII. kerület","105 m² terület","3 szoba",NA
"999",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","130 000 Ft/hó",NA,"Angol utca, XIV. kerület",NA,NA
"1000",NA,NA,NA,"180 000 Ft/hó",NA,"Vörösmarty utca"," VII. kerület","58 m² terület","1 + 1 fél szoba",NA
"1001","Új építésű",NA,NA,"190 000 Ft/hó",NA,"Corvin sétány"," VIII. kerület","50 m² terület","2 szoba","12 m² erkély"
"1002",NA,NA,NA,"360 000 Ft/hó",NA,"Tata"," Városközpont","128 m² terület","5 szoba","3 m² erkély"
"1003",NA,NA,NA,"240 000 Ft/hó",NA,"Tata"," Városközpont","65 m² terület","3 szoba",NA
"1004",NA,NA,NA,"250 000 Ft/hó",NA,"Tata"," Városközpont","72 m² terület","3 szoba",NA
"1005",NA,NA,NA,"170 000 Ft/hó",NA,"Bajcsy-Zsilinszky út"," VI. kerület","58 m² terület","2 szoba",NA
"1006",NA,NA,NA,"150 000 Ft/hó",NA,"Székesfehérvár"," Belváros","60 m² terület","2 szoba",NA
"1007",NA,NA,NA,"164 318 Ft/hó",NA,"Zugligeti út"," XII. kerület","41 m² terület","1 szoba","1 m² erkély"
"1008",NA,NA,NA,"140 000 Ft/hó",NA,"Kossuth Lajos utca"," XXI. kerület","72 m² terület","3 szoba","3 m² erkély"
"1009",NA,NA,NA,"189 000 Ft/hó",NA,"Evező utca 5."," III. kerület","46 m² terület","1 + 1 fél szoba","4 m² erkély"
"1010",NA,NA,NA,"803 330 Ft/hó",NA,"Mátyáshegy"," III. kerület","150 m² terület","6 szoba",NA
"1011","Új építésű",NA,NA,"110 000 Ft/hó",NA,"Győr"," Kisbácsa","40 m² terület","2 szoba",NA
"1012",NA,NA,NA,"230 000 Ft/hó",NA,"Irinyi József utca"," XI. kerület","86 m² terület","3 szoba",NA
"1013",NA,NA,NA,"380 000 Ft/hó",NA,"Molnár utca"," V. kerület","96 m² terület","3 szoba","10 m² erkély"
"1014",NA,NA,NA,"120 000 Ft/hó",NA,"Győr"," Belváros","59 m² terület","2 szoba","3 m² erkély"
"1015","Virtuális séta",NA,NA,"912 875 Ft/hó",NA,"Irányi utca 12."," V. kerület","99 m² terület","3 szoba","4 m² erkély"
"1016",NA,NA,NA,"160 000 Ft/hó",NA,"Csengery utca"," VI. kerület","69 m² terület","2 szoba",NA
"1017",NA,NA,NA,"292 120 Ft/hó",NA,"Erzsébet körút"," VII. kerület","93 m² terület","3 szoba",NA
"1018",NA,NA,NA,"350 000 Ft/hó",NA,"Magyar utca 27."," V. kerület","81 m² terület","3 szoba",NA
"1019","Új építésű"," Virtuális séta",NA,"255 605 Ft/hó",NA,"Székely Bertalan utca 18"," VI. kerület","41 m² terület","2 szoba",NA
"1020",NA,NA,NA,"120 000 Ft/hó",NA,"Gulácsy Lajos utca"," III. kerület","38 m² terület","1 szoba","3 m² erkély"
"1021",NA,NA,NA,"70 000 Ft/hó",NA,"Almássy tér"," VII. kerület","19 m² terület","1 szoba",NA
"1022",NA,NA,NA,"450 000 Ft/hó",NA,"Andrássy út"," VI. kerület","89 m² terület","3 szoba",NA
"1023",NA,NA,NA,"130 000 Ft/hó",NA,"Teleki László tér"," VIII. kerület","73 m² terület","2 szoba",NA
"1024",NA,NA,NA,"108 000 Ft/hó",NA,"Ábrahám Géza utca"," XX. kerület","54 m² terület","2 szoba","4 m² erkély"
"1025",NA,NA,NA,"328 635 Ft/hó",NA,"Várkert rakpart"," I. kerület","42 m² terület","1 szoba","10 m² erkély"
"1026",NA,NA,NA,"401 665 Ft/hó",NA,"Törökvész"," II. kerület","90 m² terület","3 szoba","5 m² erkély"
"1027",NA,NA,NA,"120 000 Ft/hó",NA,"Füredi út"," Debrecen","60 m² terület","2 + 1 fél szoba",NA
"1028",NA,NA,NA,"250 000 Ft/hó",NA,"Gyógy tér 3."," Balatonfüred","50 m² terület","2 szoba",NA
"1029",NA,NA,NA,"235 000 Ft/hó",NA,"Vitkovics Mihály utca"," V. kerület","72 m² terület","2 szoba","2 m² erkély"
"1030",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","85 000 Ft/hó",NA,"Boglárka utca, Győr",NA,NA
"1031",NA,NA,NA,"912 875 Ft/hó",NA,"Szemlőhegy"," II. kerület","105 m² terület","2 + 1 fél szoba","20 m² erkély"
"1032",NA,NA,NA,"185 000 Ft/hó",NA,"Gyógy tér 3."," Balatonfüred","57 m² terület","1 + 1 fél szoba",NA
"1033",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","75 000 Ft/hó",NA,"Köztársaság utca, Siófok",NA,NA
"1034",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","120 000 Ft/hó",NA,"Csengery utca 57, VI. kerület",NA,NA
"1035",NA,NA,NA,"80 000 Ft/hó",NA,"Balatonalmádi"," Vörösberény","20 m² terület","1 szoba",NA
"1036",NA,NA,NA,"180 000 Ft/hó",NA,"Bogdánfy utca"," XI. kerület","63 m² terület","2 szoba","6 m² erkély"
"1037",NA,NA,NA,"495 000 Ft/hó",NA,"Belgrád rakpart 24."," V. kerület","75 m² terület","2 szoba","5 m² erkély"
"1038",NA,NA,NA,"547 725 Ft/hó",NA,"Bimbó út"," II. kerület","105 m² terület","3 szoba","8 m² erkély"
"1039",NA,NA,NA,"185 000 Ft/hó",NA,"Anker köz"," VI. kerület","77 m² terület","2 szoba",NA
"1040",NA,NA,NA,"350 000 Ft/hó",NA,"Jurisics Miklós utca"," Pécs","74 m² terület","3 szoba","14 m² erkély"
"1041",NA,NA,NA,"250 000 Ft/hó",NA,"Corvin sétány"," VIII. kerület","56 m² terület","2 szoba",NA
"1042",NA,NA,NA,"100 000 Ft/hó",NA,"Magyar utca 1."," Újszentiván","70 m² terület","4 szoba",NA
"1043",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","89 000 Ft/hó",NA,"Kodály Zoltán utca, Balatonboglár",NA,NA
"1044","Új építésű",NA,NA,"200 000 Ft/hó",NA,"Corvin sétány"," VIII. kerület","50 m² terület","2 szoba","2 m² erkély"
"1045",NA,NA,NA,"200 000 Ft/hó",NA,"György Aladár utca"," XII. kerület","64 m² terület","2 szoba","4 m² erkély"
"1046",NA,NA,NA,"180 000 Ft/hó",NA,"Istvánmező"," XIV. kerület","58 m² terület","2 szoba","14 m² erkély"
"1047",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","200 000 Ft/hó",NA,"József Attila utca 12, V. kerület",NA,NA
"1048",NA,NA,NA,"100 000 Ft/hó",NA,"Csemete utca"," Debrecen","35 m² terület","1 + 1 fél szoba","4 m² erkély"
"1049",NA,NA,NA,"630 000 Ft/hó",NA,"Külső-Terézváros"," VI. kerület","140 m² terület","6 szoba",NA
"1050",NA,NA,NA,"693 785 Ft/hó",NA,"Kútvölgy"," XII. kerület","110 m² terület","4 szoba","10 m² erkély"
"1051",NA,NA,NA,"130 000 Ft/hó",NA,"Szent Bertalan utca"," Gyöngyös","80 m² terület","2 + 1 fél szoba","4 m² erkély"
"1052",NA,NA,NA,"529 468 Ft/hó",NA,"Andrássy út"," VI. kerület","101 m² terület","2 + 1 fél szoba",NA
"1053",NA,NA,NA,"260 000 Ft/hó",NA,"Izabella utca"," VI. kerület","120 m² terület","3 + 1 fél szoba",NA
"1054",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","720 000 Ft/hó",NA,"Sas utca, V. kerület",NA,NA
"1055",NA,NA,NA,"179 000 Ft/hó",NA,"Ajtósi Dürer sor"," XIV. kerület","84 m² terület","2 szoba",NA
"1056",NA,NA,NA,"120 000 Ft/hó",NA,"Szövőszék utca"," X. kerület","36 m² terület","1 szoba",NA
"1057",NA,NA,NA,"170 000 Ft/hó",NA,"Bem rakpart 42"," II. kerület","43 m² terület","1 + 1 fél szoba",NA
"1058",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","125 000 Ft/hó",NA,"Mikszáth Kálmán utca 4, Debrecen",NA,NA
"1059",NA,NA,NA,"110 000 Ft/hó",NA,"Magasház utca 2"," XXII. kerület","31 m² terület","1 szoba",NA
"1060",NA,NA,NA,"80 000 Ft/hó",NA,"Szebeni utca"," XXI. kerület","14 m² terület","1 szoba","5 m² erkély"
"1061",NA,NA,NA,"130 000 Ft/hó",NA,"Budai út 31"," Székesfehérvár","40 m² terület","1 + 1 fél szoba","7 m² erkély"
"1062",NA,NA,NA,"200 000 Ft/hó",NA,"Kálmán Imre utca"," V. kerület","48 m² terület","2 szoba",NA
"1063",NA,NA,NA,"110 000 Ft/hó",NA,"Hársfa utca 39"," VII. kerület","39 m² terület","1 szoba",NA
"1064",NA,NA,NA,"164 318 Ft/hó",NA,"Ráday utca"," IX. kerület","33 m² terület","1 szoba",NA
"1065",NA,NA,NA,"140 000 Ft/hó",NA,"Práter utca 65"," VIII. kerület","58 m² terület","2 szoba",NA
"1066",NA,NA,NA,"150 000 Ft/hó",NA,"Mérleg utca"," V. kerület","50 m² terület","2 szoba",NA
"1067",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","260 000 Ft/hó",NA,"Közraktár utca, IX. kerület",NA,NA
"1068",NA,NA,NA,"230 000 Ft/hó",NA,"Vörösmarty tér"," V. kerület","48 m² terület","2 szoba","2 m² erkély"
"1069",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","140 000 Ft/hó",NA,"Arany János utca 49, XXII. kerület",NA,NA
"1070",NA,NA,NA,"657 270 Ft/hó",NA,"Belső-Terézváros"," VI. kerület","108 m² terület","3 + 1 fél szoba",NA
"1071",NA,NA,NA,"803 330 Ft/hó",NA,"Külső-Terézváros"," VI. kerület","74 m² terület","3 szoba",NA
"1072",NA,NA,NA,"170 000 Ft/hó",NA,"Attila út 125"," I. kerület","43 m² terület","2 szoba",NA
"1073",NA,NA,NA,"160 000 Ft/hó",NA,"Kecskemét"," Belváros","68 m² terület","3 szoba","4 m² erkély"
"1074",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","100 000 Ft/hó",NA,"Kossuth Lajos utca 16., Budakeszi",NA,NA
"1075",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","140 000 Ft/hó",NA,"Csengery utca 10, VII. kerület",NA,NA
"1076",NA,NA,NA,"1 460 600 Ft/hó",NA,"Hold utca"," V. kerület","163 m² terület","4 szoba","4 m² erkély"
